City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Mannarakkat,IN,2022-01-29 22:17:33,10.9833,76.4667,78.35,77,88,2.42
222,Bud,US,2022-01-29 22:13:59,39.447,-86.1758,26.91,47,34,7.07
223,Clearlake,US,2022-01-29 22:17:33,38.9582,-122.6264,65.57,30,2,1.34
224,Butaritari,KI,2022-01-29 22:17:34,3.0707,172.7902,82.38,75,34,20.29
225,Airai,TL,2022-01-29 22:17:34,-8.9266,125.4092,61.2,91,100,3.31
226,Gao,ML,2022-01-29 22:17:34,16.6362,1.637,67.6,14,1,12.01
227,East London,ZA,2022-01-29 22:17:35,-33.0153,27.9116,71.56,82,82,9.66
228,College,US,2022-01-29 22:18:35,64.8569,-147.8028,-9.45,73,40,0.0
229,Cherskiy,RU,2022-01-29 22:18:35,68.75,161.3,-27.76,100,57,2.46
230,Mut,TR,2022-01-29 22:18:36,36.6439,33.4389,34.7,79,100,2.13
231,Zhangye,CN,2022-01-29 22:18:36,38.9342,100.4517,14.97,59,16,5.28
232,Czestochowa,PL,2022-01-29 22:18:37,50.7965,19.1241,38.61,89,100,24.45
233,Saint-Georges,GD,2022-01-29 22:18:37,12.0564,-61.7485,80.28,74,20,11.5
234,Ouadda,CF,2022-01-29 22:18:37,8.0777,22.4007,64.71,25,50,5.41
235,Kanniyakumari,IN,2022-01-29 22:18:38,8.0833,77.5667,77.86,82,20,15.5
236,Kalakamati,BW,2022-01-29 22:18:38,-20.5929,27.3121,67.5,85,97,15.3
237,Polson,US,2022-01-29 22:18:39,47.6936,-114.1632,25.77,78,75,3.02
238,Birao,CF,2022-01-29 22:18:40,10.2849,22.7882,66.16,17,61,6.38
239,Saint-Joseph,RE,2022-01-29 22:17:40,-21.3667,55.6167,75.56,85,37,9.48
240,Surovatikha,RU,2022-01-29 22:18:40,55.7652,43.8984,12.67,99,97,3.49
241,Torbay,CA,2022-01-29 22:18:40,47.6666,-52.7314,33.58,92,100,7.0
242,Porto Novo,BJ,2022-01-29 22:18:41,6.4965,2.6036,82.22,70,33,2.62
243,Husavik,IS,2022-01-29 22:18:41,66.0449,-17.3389,33.71,77,49,18.99
244,Fairbanks,US,2022-01-29 22:15:28,64.8378,-147.7164,-9.44,73,0,0.0
245,Esperance,AU,2022-01-29 22:18:41,-33.8667,121.9,65.39,78,1,12.21
246,Tabou,CI,2022-01-29 22:18:42,4.423,-7.3528,80.04,86,28,6.58
247,Scottsbluff,US,2022-01-29 22:14:50,41.8666,-103.6672,57.81,15,0,11.99
248,Ponta Delgada,PT,2022-01-29 22:18:42,37.7333,-25.6667,58.5,72,20,8.05
249,Nanortalik,GL,2022-01-29 22:16:18,60.1432,-45.2371,20.71,64,100,17.83
250,Hirara,JP,2022-01-29 22:18:43,24.8,125.2833,66.06,94,75,16.11
251,Abingdon,GB,2022-01-29 22:18:43,51.6711,-1.2828,44.78,81,40,3.44
252,Borogontsy,RU,2022-01-29 22:18:44,62.6683,131.1683,-37.1,100,74,2.06
253,Erzin,TR,2022-01-29 22:18:44,36.9559,36.2,41.72,75,99,6.11
254,Oranjemund,NA,2022-01-29 22:18:44,-28.55,16.4333,66.18,84,78,8.48
255,Teguldet,RU,2022-01-29 22:18:45,57.3064,88.1667,2.32,98,94,2.53
256,Leningradskiy,RU,2022-01-29 22:15:13,69.3833,178.4167,-8.81,90,61,4.85
257,Carnarvon,AU,2022-01-29 22:14:15,-24.8667,113.6333,77.07,88,79,10.36
258,Iqaluit,CA,2022-01-29 22:18:45,63.7506,-68.5145,-9.67,59,75,5.75
259,Dossor,KZ,2022-01-29 22:18:45,47.5272,52.9811,27.3,91,100,10.6
260,Hohhot,CN,2022-01-29 22:18:46,40.8106,111.6522,8.89,66,0,6.71
261,Marsaxlokk,MT,2022-01-29 22:18:46,35.8419,14.5431,52.09,46,20,10.36
262,Morondava,MG,2022-01-29 22:17:12,-20.2833,44.2833,80.8,78,2,9.6
263,Saldanha,ZA,2022-01-29 22:18:46,-33.0117,17.9442,64.96,87,0,15.08
264,Bilma,NE,2022-01-29 22:18:47,18.6853,12.9164,59.86,19,2,11.56
